candidate_uid	circuit	stage	scheme	candidate	repeat	mode	run_id	attempt_id	join_key_source	patterns	fault_sha	source_file	source_row	join_status	join_reason
b20:hf_coarse:HF:10:0	b20	hf_coarse	HF	10		F	F_b20_cov95v2_HF_c10_h358_F_p17	attempt_eeb9ad12917c0f36f55a	source_log_basename	17	c5718eee5593fde9085947f1e8ba893948b5770fb18a67f9a4f3586892609a2e	hf_coarse.tsv	11	UNIQUE	source_log_basename
b20:hf_coarse:HF:10:0	b20	hf_coarse	HF	10		H	H_b20_cov95v2_HF_c10_H_p358	attempt_539b85c9e640938bbac0	source_log_basename	358	fa71ae8b4abf55c3082b97760886233b3ac2df12e1060427297c5a814520cd50	hf_coarse.tsv	11	UNIQUE	source_log_basename
b20:hf_coarse:HF:11:0	b20	hf_coarse	HF	11		F	F_b20_cov95v2_HF_c11_h398_F_p16	attempt_ee9b429550c0b784aabb	source_log_basename	16	c60b3d2132010757921ebb8a2fc7d8e4582f98efc59efa4cbe8be4493ad4d587	hf_coarse.tsv	12	UNIQUE	source_log_basename
b20:hf_coarse:HF:11:0	b20	hf_coarse	HF	11		H	H_b20_cov95v2_HF_c11_H_p398	attempt_e1da45c4b59dc108238f	source_log_basename	398	7d9772aa90ab48bff9e34d1c05b6d5e4fc2e413370d33bac5927431992c6e1c4	hf_coarse.tsv	12	UNIQUE	source_log_basename
b20:hf_coarse:HF:12:0	b20	hf_coarse	HF	12		F	F_b20_cov95v2_HF_c12_h437_F_p13	attempt_296fde508963518ee434	source_log_basename	13	bc575cbafa1de6ef75b3fded38065b8ce900833bfb7803a7725d3cbf815b8174	hf_coarse.tsv	13	UNIQUE	source_log_basename
b20:hf_coarse:HF:12:0	b20	hf_coarse	HF	12		H	H_b20_cov95v2_HF_c12_H_p437	attempt_967c98bf1937db7d46de	source_log_basename	437	ff43936154732e4b7f483a1b9cfdf13f4183443ebac5e8453ffb5216e570183e	hf_coarse.tsv	13	UNIQUE	source_log_basename
b20:hf_coarse:HF:13:0	b20	hf_coarse	HF	13		F	F_b20_cov95v2_HF_c13_h477_F_p8	attempt_939f0653ce3cdc9402cd	source_log_basename	8	2dd6d3cbf390cccc14613f8a039c8351dd72f971bcdd9228f7fd80fdf5f0636b	hf_coarse.tsv	14	UNIQUE	source_log_basename
b20:hf_coarse:HF:13:0	b20	hf_coarse	HF	13		H	H_b20_cov95v2_HF_c13_H_p477	attempt_0e1e7d38781504807202	source_log_basename	477	16cb669c9fe42b40e0bc1cdffb4ff837f2e06e5d8eb6e5d93fd86fa6f591af34	hf_coarse.tsv	14	UNIQUE	source_log_basename
b20:hf_coarse:HF:14:0	b20	hf_coarse	HF	14		F	F_b20_cov95v2_HF_c14_h517_F_p7	attempt_0150fa0c9ab95d9e954a	source_log_basename	7	dc188cab968b5e7345afd68c045baa62b55308e7362926154cb242c8e730a856	hf_coarse.tsv	15	UNIQUE	source_log_basename
b20:hf_coarse:HF:14:0	b20	hf_coarse	HF	14		H	H_b20_cov95v2_HF_c14_H_p517	attempt_71f36fb2d0c9613771ce	source_log_basename	517	d1620292cd2f9c934a3e181862d599bcaf229795299d36b353392cdc99465a92	hf_coarse.tsv	15	UNIQUE	source_log_basename
